condition_id,repetition,mode_key,threads,prompt_bytes,requests,p50_us,p95_us,p99_us,throughput_rps
inline-0489,1,policy_only,8,2048,1000,0.875,5.627099999999999,20.752089999999995,1149920.9429351732
inline-0490,2,evidence:none,1,2048,1000,27.125,30.91905,33.29492,35724.385508417305
inline-0491,2,evidence:full,4,2048,1000,16004.3335,27824.42705,29951.496669999997,243.8974644084241
inline-0492,13,evidence:data,4,128,1000,15977.5625,30008.314899999998,54055.72383999998,243.31810708880957
inline-0493,6,evidence:none,1,2048,1000,25.25,30.46315,38.31240999999998,38348.39888531942
inline-0494,0,evidence:none,4,2048,1000,115.729,186.2771,250.00582999999997,33047.24443979286
inline-0495,2,policy_only,8,128,1000,0.333,1.0860499999999982,18.93974999999998,940180.9848395817
inline-0496,11,evidence:data,1,16384,1000,4036.792,5218.47085,6739.11551,231.06279158464977
inline-0497,10,evidence:none,1,16384,1000,82.292,110.58305,128.30474999999998,11762.23235407848
inline-0498,12,evidence:none,1,16384,1000,77.25,91.25205,95.67283,12661.279537008408
inline-0499,16,evidence:full,1,16384,1000,4020.6875,5077.1691,6537.72658,232.9297053172663
inline-0500,13,evidence:none,1,2048,1000,34.417,45.292,50.02999999999997,27462.68768206732
inline-0501,6,evidence:none,1,128,1000,23.5,28.166,39.571999999999974,40750.14164749237
inline-0502,12,policy_only,1,16384,1000,5.667,5.916,6.00042,173733.025849042
inline-0503,9,evidence:full,8,128,1000,31998.7085,62025.7027,101873.41499999994,242.65975969244812
inline-0504,13,evidence:full,1,128,1000,4752.833,7301.270849999996,9304.837919999996,205.72195388138567
inline-0505,15,evidence:none,8,16384,1000,485.4375,681.3371999999999,727.60649,15394.029425687248
inline-0506,16,evidence:full,8,16384,1000,32149.3125,38530.91184999998,59993.852909999994,240.42992480851512
inline-0507,1,evidence:data,1,2048,1000,4006.25,4711.747299999999,5746.591169999999,243.98491038723972
inline-0508,0,evidence:data,8,2048,1000,32039.4585,41546.006599999986,65945.05458,242.62108900111866
inline-0509,0,evidence:full,8,16384,1000,32041.1045,35186.835399999996,60022.49551,244.18009961035614
inline-0510,12,evidence:data,1,2048,1000,4003.938,4815.064899999999,6294.371839999996,242.77856181482304
inline-0511,9,evidence:full,1,2048,1000,4001.3335,4859.579449999999,8057.03726,238.20944392655394
inline-0512,3,evidence:full,4,128,1000,16057.9995,40772.92709999996,89032.98592,194.0273169406408
inline-0513,14,policy_only,4,128,1000,0.209,0.791,1.083,1835424.799892811
inline-0514,15,evidence:full,8,16384,1000,32094.1455,37988.05,60057.44508999999,240.1527732251116
inline-0515,14,policy_only,8,128,1000,0.166,0.542,13.82433999999997,2433581.477524658
inline-0516,6,policy_only,4,16384,1000,5.875,6.166,6.54241,571156.3746191815
inline-0517,4,policy_only,1,128,1000,0.166,0.292,0.33440999999999965,2069322.2969477496
inline-0518,15,evidence:data,8,16384,1000,32831.25,41104.272899999996,61974.64926,237.52399994453813
inline-0519,17,evidence:data,1,2048,1000,4013.917,6135.112499999998,8964.52625,232.1818316950963
inline-0520,18,policy_only,8,2048,1000,1.417,3.044049999999998,24.00333,864335.6111457805
inline-0521,19,evidence:full,1,128,1000,4980.9375,7521.8952,10995.776839999997,181.5124076663399
inline-0522,3,evidence:none,8,128,1000,28.2915,41.04615,2194.5254199999927,32517.858076003533
inline-0523,11,policy_only,1,128,1000,0.084,0.292,0.334,2049180.3278688525
inline-0524,18,evidence:none,8,128,1000,24.4795,29.792,3205.212169999999,38978.94649652357
inline-0525,12,policy_only,4,2048,1000,0.833,1.125,3.042,2016808.0785264394
inline-0526,13,evidence:data,4,16384,1000,16066.0,24956.69404999995,35973.34708,228.798006112503
inline-0527,18,evidence:data,4,16384,1000,16039.771,20037.78715,28971.02642,237.721953330206
inline-0528,14,evidence:full,8,16384,1000,32970.646,38055.49795,48023.658749999995,237.2097725889907
inline-0529,5,policy_only,1,128,1000,0.166,0.459,0.542,1338688.0856760375
inline-0530,12,evidence:data,4,2048,1000,16008.5835,25085.408649999994,29616.918329999997,243.6057697980779
inline-0531,4,evidence:full,8,2048,1000,32041.2295,48999.7458,66046.83341999997,241.57265244243357
inline-0532,18,evidence:none,1,128,1000,18.583,22.33605,25.42308999999999,50683.91609277691
inline-0533,18,evidence:none,4,2048,1000,112.021,149.80865,213.13709,34733.22710754709
inline-0534,10,evidence:full,8,2048,1000,32031.9795,42923.93959999999,62944.124,242.95490995720166
inline-0535,5,policy_only,1,2048,1000,0.75,0.917,1.0004199999999996,872092.769740474
inline-0536,11,policy_only,8,16384,1000,6.083,10.793099999999999,19.55365999999999,839689.7850058274
inline-0537,12,evidence:full,8,2048,1000,32029.1665,43030.51875,61052.25483,244.32724066709645
inline-0538,1,evidence:full,1,16384,1000,4015.687,5023.092,6043.479259999992,234.5639935055826
inline-0539,9,evidence:data,4,2048,1000,16087.125,27873.93365,34954.820089999994,222.01903572917973
inline-0540,1,policy_only,1,128,1000,0.167,0.459,0.5424099999999996,1314708.299096138
inline-0541,12,policy_only,4,128,1000,0.209,0.667,1.0004199999999996,2218317.982572894
inline-0542,3,evidence:full,4,2048,1000,16027.6455,29650.896149999986,39188.02749999999,226.48087205957904
inline-0543,19,evidence:none,4,16384,1000,240.4585,336.69615,384.58948999999996,15500.21119037747
inline-0544,1,evidence:data,4,16384,1000,16013.5,18861.403849999995,28764.98908,243.00973139613862
inline-0545,1,evidence:none,4,128,1000,30.271,41.29615,113.93023999999969,32057.532242584348
inline-0546,13,evidence:none,4,16384,1000,231.1875,274.4715,291.67825,16623.583878448353
inline-0547,4,evidence:none,8,2048,1000,254.3545,312.4642499999999,483.30665999999997,30518.0819788315
inline-0548,8,policy_only,1,16384,1000,5.292,5.583,5.62542,187602.6186323919
inline-0549,19,evidence:none,1,2048,1000,27.292,31.460099999999997,36.37832999999999,35326.22336566142
inline-0550,0,policy_only,4,2048,1000,0.833,1.042,3.04241,1975632.5481511042
inline-0551,18,evidence:full,8,16384,1000,32067.8335,37095.87225,60858.41233,242.0665145924456
inline-0552,11,policy_only,4,16384,1000,8.625,9.083,9.41741,388362.03264027537
inline-0553,19,evidence:full,1,2048,1000,4002.604,4689.308649999998,5831.0912499999995,243.55315801480418
inline-0554,19,policy_only,8,2048,1000,1.5,2.7172999999999923,28.384579999999993,1002589.6891671186
inline-0555,16,evidence:none,8,128,1000,24.8545,29.917,2739.7900899999713,39475.50164184532
inline-0556,17,evidence:full,8,128,1000,31956.187,62935.9729,117946.80166999996,244.7405809607466
inline-0557,0,evidence:data,8,128,1000,32177.271,65072.758649999996,92426.99291999999,229.3296404301834
inline-0558,1,evidence:none,1,2048,1000,37.333,50.92434999999999,55.25332999999999,25885.55586759155
inline-0559,13,evidence:full,1,16384,1000,4014.0625,5155.527099999998,7412.255179999995,233.87230702490413
inline-0560,8,policy_only,1,2048,1000,1.125,1.375,2.542259999999999,596525.2404742376
inline-0561,0,evidence:data,4,16384,1000,16028.8745,19961.770499999995,28933.187919999997,239.80780124153895
inline-0562,6,policy_only,1,128,1000,0.125,0.334,0.375,1947893.8397857316
inline-0563,13,evidence:full,4,128,1000,15978.396,28122.41635,64024.450829999994,242.95570434635303
inline-0564,10,evidence:full,4,16384,1000,16028.604,19006.61075,29756.3925,240.57394928024945
inline-0565,5,evidence:data,1,128,1000,4000.2705,4890.81425,6710.80333,241.89728996655677
inline-0566,3,evidence:data,8,16384,1000,33047.4795,62021.60894999999,73529.46341999997,211.5200891353778
inline-0567,13,evidence:data,1,128,1000,4059.5205,6230.7642499999965,10881.157739999993,196.99399798214162
inline-0568,11,evidence:none,1,128,1000,24.708,31.083,36.29183999999999,37962.7300897344
inline-0569,17,policy_only,4,2048,1000,0.917,1.125,3.333839999999999,1777120.638057394
inline-0570,19,evidence:full,8,128,1000,31943.0005,62031.9247,132873.4552399999,244.1616001862953
inline-0571,10,evidence:full,1,2048,1000,4001.3335,4456.671149999999,5483.932419999997,244.85091280972435
inline-0572,12,policy_only,1,128,1000,0.125,0.458,0.541,1418773.782195524
inline-0573,9,policy_only,8,128,1000,0.209,0.7520499999999981,15.73091999999998,3231894.9246322103
inline-0574,5,evidence:data,8,2048,1000,32013.3125,44904.0583,63044.49657999999,246.08101120215466
inline-0575,4,evidence:full,1,16384,1000,4090.583,6032.300649999998,8940.114339999996,221.30855805330563
inline-0576,8,evidence:full,1,128,1000,3995.4585,4234.174349999999,5210.568,246.00539762558577
inline-0577,17,policy_only,1,16384,1000,5.542,6.875,7.166,179904.65053521632
inline-0578,11,evidence:data,1,2048,1000,3998.8335,4555.018749999999,7820.070169999999,243.9741262394326
inline-0579,15,evidence:data,8,128,1000,35997.541,74644.96875,131196.20116,200.73479807893554
inline-0580,9,evidence:full,8,16384,1000,32135.875,39907.38575,47124.14624999988,239.1056158795778
inline-0581,8,evidence:data,8,128,1000,32023.625,60998.8708,90014.73908,242.35786333750838
inline-0582,15,evidence:none,1,128,1000,16.75,21.460099999999997,25.33608,55168.98951099587
inline-0583,2,evidence:data,8,128,1000,32034.062,62095.6045,90943.87208999998,241.18158474159225
inline-0584,17,policy_only,4,128,1000,0.166,0.541,0.7508299999999992,2676179.593060131
inline-0585,15,evidence:full,1,2048,1000,4003.792,4867.779799999998,6012.539249999999,241.89477873446154
inline-0586,11,policy_only,8,128,1000,0.25,0.917,19.41916999999996,2028056.1284814118
inline-0587,2,evidence:data,4,128,1000,15992.729,28145.831249999996,44047.36508999994,242.95752931248333
inline-0588,9,evidence:none,8,16384,1000,485.0415,660.1375,759.7504200000001,15489.707089638934
inline-0589,17,evidence:none,8,2048,1000,251.1875,272.73715,479.125,31519.019758485512
inline-0590,10,evidence:none,4,2048,1000,125.4375,151.18989999999997,219.09899,30885.88437869183
inline-0591,18,evidence:full,4,128,1000,15995.979,29819.802099999997,63894.83825,243.13527311111702
inline-0592,2,evidence:full,1,128,1000,4186.4585,6739.339249999998,9223.629169999987,189.91322888311484
inline-0593,16,policy_only,8,2048,1000,0.834,3.0062499999999948,23.214259999999996,1726248.1205473586
inline-0594,9,evidence:none,8,2048,1000,214.75,297.0018,466.55458999999996,35071.87542469849
inline-0595,4,evidence:data,8,2048,1000,32044.125,36174.65415,60664.40801,245.35605395821267
inline-0596,19,evidence:none,4,2048,1000,159.791,211.66815,238.65507999999994,23934.205061758865
inline-0597,0,evidence:data,1,128,1000,4004.063,4412.8476,5912.91684,245.28075732843465
inline-0598,10,policy_only,1,16384,1000,7.792,8.542,10.12542,118088.73849107155
inline-0599,0,evidence:none,8,128,1000,27.5,34.17224999999999,3893.622409999998,35238.77121840941
inline-0600,1,policy_only,4,16384,1000,5.875,6.25,12.462589999999997,555928.6454464997
inline-0601,14,evidence:data,4,16384,1000,16023.5415,19165.0827,29016.234169999996,240.33040146778274
inline-0602,8,evidence:data,1,16384,1000,4898.7295,6023.56875,7775.784759999987,209.07995021283685
